ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
4,lane_lane-EF;2-AL;2,50,94,457.6
4,lane_lane-EF;2-AL;2,100,132,457.6
4,lane_lane-EF;2-AL;2,150,461,457.6
4,lane_lane-EF;2-AL;2,200,468,457.6
4,lane_lane-EF;2-AL;2,250,1133,457.6
10,lane_lane-BH;2-EF;2,50,89,510.8
10,lane_lane-BH;2-EF;2,100,141,510.8
10,lane_lane-BH;2-EF;2,150,186,510.8
10,lane_lane-BH;2-EF;2,200,482,510.8
10,lane_lane-BH;2-EF;2,250,1656,510.8
21,lane_lane-JK;2-EF;2,50,96,572.8
21,lane_lane-JK;2-EF;2,100,163,572.8
21,lane_lane-JK;2-EF;2,150,184,572.8
21,lane_lane-JK;2-EF;2,200,749,572.8
21,lane_lane-JK;2-EF;2,250,1672,572.8
18,lane_net-EF;2-FK,50,86,573.5999999999999
18,lane_net-EF;2-FK,100,687,573.5999999999999
18,lane_net-EF;2-FK,150,751,573.5999999999999
18,lane_net-EF;2-FK,200,487,573.5999999999999
18,lane_net-EF;2-FK,250,857,573.5999999999999
20,lane_lane-EI;2-BK;2,50,87,625.6
20,lane_lane-EI;2-BK;2,100,458,625.6
20,lane_lane-EI;2-BK;2,150,493,625.6
20,lane_lane-EI;2-BK;2,200,445,625.6
20,lane_lane-EI;2-BK;2,250,1645,625.6
5,net_net-AD-FI,50,87,684.4000000000001
5,net_net-AD-FI,100,402,684.4000000000001
5,net_net-AD-FI,150,770,684.4000000000001
5,net_net-AD-FI,200,474,684.4000000000001
5,net_net-AD-FI,250,1689,684.4000000000001
24,lane_lane-EI;2-IM;2,50,91,688.6
24,lane_lane-EI;2-IM;2,100,449,688.6
24,lane_lane-EI;2-IM;2,150,774,688.6
24,lane_lane-EI;2-IM;2,200,750,688.6
24,lane_lane-EI;2-IM;2,250,1379,688.6
31,lane_lane-DI;2-DE;2,50,96,715.8
31,lane_lane-DI;2-DE;2,100,740,715.8
31,lane_lane-DI;2-DE;2,150,795,715.8
31,lane_lane-DI;2-DE;2,200,531,715.8
31,lane_lane-DI;2-DE;2,250,1417,715.8
29,net_net-FK-EJ,50,94,749.2
29,net_net-FK-EJ,100,727,749.2
29,net_net-FK-EJ,150,748,749.2
29,net_net-FK-EJ,200,477,749.2
29,net_net-FK-EJ,250,1700,749.2
9,lane_net-GK;2-EJ,50,97,752.8
9,lane_net-GK;2-EJ,100,165,752.8
9,lane_net-GK;2-EJ,150,743,752.8
9,lane_net-GK;2-EJ,200,736,752.8
9,lane_net-GK;2-EJ,250,2023,752.8
11,net_net-KM-FI,50,94,773.2
11,net_net-KM-FI,100,688,773.2
11,net_net-KM-FI,150,735,773.2
11,net_net-KM-FI,200,688,773.2
11,net_net-KM-FI,250,1661,773.2
8,net_net-JM-FI,50,87,787.4
8,net_net-JM-FI,100,705,787.4
8,net_net-JM-FI,150,737,787.4
8,net_net-JM-FI,200,718,787.4
8,net_net-JM-FI,250,1690,787.4
22,lane_net-CK;2-FI,50,84,798.8
22,lane_net-CK;2-FI,100,690,798.8
22,lane_net-CK;2-FI,150,1027,798.8
22,lane_net-CK;2-FI,200,457,798.8
22,lane_net-CK;2-FI,250,1736,798.8
32,net_net-GL-AF,50,100,824.0
32,net_net-GL-AF,100,152,824.0
32,net_net-GL-AF,150,787,824.0
