ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
16,lane_lane-EF;2-IJ;2,50,104,526.0
16,lane_lane-EF;2-IJ;2,100,138,526.0
16,lane_lane-EF;2-IJ;2,150,201,526.0
16,lane_lane-EF;2-IJ;2,200,493,526.0
16,lane_lane-EF;2-IJ;2,250,1694,526.0
41,lane_lane-GH;2-EI;2,50,86,535.5999999999999
41,lane_lane-GH;2-EI;2,100,434,535.5999999999999
41,lane_lane-GH;2-EI;2,150,760,535.5999999999999
41,lane_lane-GH;2-EI;2,200,482,535.5999999999999
41,lane_lane-GH;2-EI;2,250,916,535.5999999999999
21,lane_lane-EF;2-EI;2,50,92,583.4000000000001
21,lane_lane-EF;2-EI;2,100,147,583.4000000000001
21,lane_lane-EF;2-EI;2,150,469,583.4000000000001
21,lane_lane-EF;2-EI;2,200,226,583.4000000000001
21,lane_lane-EF;2-EI;2,250,1983,583.4000000000001
58,lane_lane-JK;2-EI;2,50,93,595.2
58,lane_lane-JK;2-EI;2,100,433,595.2
58,lane_lane-JK;2-EI;2,150,787,595.2
58,lane_lane-JK;2-EI;2,200,239,595.2
58,lane_lane-JK;2-EI;2,250,1424,595.2
11,net_net-FI-AF,50,93,634.8
11,net_net-FI-AF,100,398,634.8
11,net_net-FI-AF,150,497,634.8
11,net_net-FI-AF,200,739,634.8
11,net_net-FI-AF,250,1447,634.8
46,lane_lane-EI;2-DI;2,50,94,639.8
46,lane_lane-EI;2-DI;2,100,448,639.8
46,lane_lane-EI;2-DI;2,150,763,639.8
46,lane_lane-EI;2-DI;2,200,770,639.8
46,lane_lane-EI;2-DI;2,250,1124,639.8
33,lane_lane-DE;2-DI;2,50,96,715.8
33,lane_lane-DE;2-DI;2,100,740,715.8
33,lane_lane-DE;2-DI;2,150,795,715.8
33,lane_lane-DE;2-DI;2,200,531,715.8
33,lane_lane-DE;2-DI;2,250,1417,715.8
9,lane_net-GH;2-AF,50,89,724.4000000000001
9,lane_net-GH;2-AF,100,737,724.4000000000001
9,lane_net-GH;2-AF,150,490,724.4000000000001
9,lane_net-GH;2-AF,200,757,724.4000000000001
9,lane_net-GH;2-AF,250,1549,724.4000000000001
45,lane_net-GH;2-AF,50,89,724.4000000000001
45,lane_net-GH;2-AF,100,737,724.4000000000001
45,lane_net-GH;2-AF,150,490,724.4000000000001
45,lane_net-GH;2-AF,200,757,724.4000000000001
45,lane_net-GH;2-AF,250,1549,724.4000000000001
43,net_net-CJ-AF,50,90,746.8000000000001
43,net_net-CJ-AF,100,722,746.8000000000001
43,net_net-CJ-AF,150,501,746.8000000000001
43,net_net-CJ-AF,200,468,746.8000000000001
43,net_net-CJ-AF,250,1953,746.8000000000001
53,lane_net-EI;2-EL,50,353,748.2
53,lane_net-EI;2-EL,100,434,748.2
53,lane_net-EI;2-EL,150,796,748.2
53,lane_net-EI;2-EL,200,465,748.2
53,lane_net-EI;2-EL,250,1693,748.2
37,net_net-EJ-FK,50,94,749.2
37,net_net-EJ-FK,100,727,749.2
37,net_net-EJ-FK,150,748,749.2
37,net_net-EJ-FK,200,477,749.2
37,net_net-EJ-FK,250,1700,749.2
22,net_net-CJ-FI,50,91,772.0
22,net_net-CJ-FI,100,697,772.0
22,net_net-CJ-FI,150,996,772.0
22,net_net-CJ-FI,200,700,772.0
22,net_net-CJ-FI,250,1376,772.0
1,net_net-KM-FI,50,94,773.2
1,net_net-KM-FI,100,688,773.2
1,net_net-KM-FI,150,735,773.2
1,net_net-KM-FI,200,688,773.2
1,net_net-KM-FI,250,1661,773.2
24,lane_net-IJ;2-KM,50,112,785.4
24,lane_net-IJ;2-KM,100,701,785.4
24,lane_net-IJ;2-KM,150,1028,785.4
24,lane_net-IJ;2-KM,200,695,785.4
24,lane_net-IJ;2-KM,250,1391,785.4
29,lane_lane-FJ;2-BH;2,50,89,804.6
29,lane_lane-FJ;2-BH;2,100,709,804.6
29,lane_lane-FJ;2-BH;2,150,743,804.6
29,lane_lane-FJ;2-BH;2,200,741,804.6
29,lane_lane-FJ;2-BH;2,250,1741,804.6
56,lane_lane-IJ;2-FJ;2,50,102,806.0
56,lane_lane-IJ;2-FJ;2,100,717,806.0
56,lane_lane-IJ;2-FJ;2,150,1026,806.0
56,lane_lane-IJ;2-FJ;2,200,702,806.0
56,lane_lane-IJ;2-FJ;2,250,1483,806.0
54,lane_net-GH;2-AD,50,78,810.0
54,lane_net-GH;2-AD,100,711,810.0
54,lane_net-GH;2-AD,150,1047,810.0
54,lane_net-GH;2-AD,200,775,810.0
54,lane_net-GH;2-AD,250,1439,810.0
39,net_net-AF-HK,50,81,813.5999999999999
39,net_net-AF-HK,100,440,813.5999999999999
39,net_net-AF-HK,150,800,813.5999999999999
39,net_net-AF-HK,200,753,813.5999999999999
39,net_net-AF-HK,250,1994,813.5999999999999
42,net_net-AF-GJ,50,88,818.2
42,net_net-AF-GJ,100,419,818.2
42,net_net-AF-GJ,150,740,818.2
42,net_net-AF-GJ,200,764,818.2
42,net_net-AF-GJ,250,2080,818.2
57,lane_net-IM;2-JM,50,96,869.3999999999999
57,lane_net-IM;2-JM,100,701,869.3999999999999
57,lane_net-IM;2-JM,150,1017,869.3999999999999
57,lane_net-IM;2-JM,200,466,869.3999999999999
57,lane_net-IM;2-JM,250,2067,869.3999999999999
40,lane_lane-FG;2-AL;2,50,103,872.8
40,lane_lane-FG;2-AL;2,100,452,872.8
40,lane_lane-FG;2-AL;2,150,1049,872.8
40,lane_lane-FG;2-AL;2,200,760,872.8
40,lane_lane-FG;2-AL;2,250,2000,872.8
60,lane_lane-AL;2-FG;2,50,103,872.8
60,lane_lane-AL;2-FG;2,100,452,872.8
60,lane_lane-AL;2-FG;2,150,1049,872.8
60,lane_lane-AL;2-FG;2,200,760,872.8
60,lane_lane-AL;2-FG;2,250,2000,872.8
55,net_net-AF-BG,50,89,877.0
55,net_net-AF-BG,100,721,877.0
55,net_net-AF-BG,150,498,877.0
55,net_net-AF-BG,200,1045,877.0
55,net_net-AF-BG,250,2032,877.0
14,net_net-CJ-GL,50,93,878.4
14,net_net-CJ-GL,100,716,878.4
14,net_net-CJ-GL,150,747,878.4
14,net_net-CJ-GL,200,528,878.4
14,net_net-CJ-GL,250,2308,878.4
36,lane_net-JK;2-EL,50,97,882.6
36,lane_net-JK;2-EL,100,430,882.6
36,lane_net-JK;2-EL,150,746,882.6
36,lane_net-JK;2-EL,200,1052,882.6
36,lane_net-JK;2-EL,250,2088,882.6
17,lane_net-IM;2-FI,50,91,889.0
17,lane_net-IM;2-FI,100,698,889.0
17,lane_net-IM;2-FI,150,1016,889.0
17,lane_net-IM;2-FI,200,705,889.0
17,lane_net-IM;2-FI,250,1935,889.0
51,lane_net-AL;2-BC,50,89,890.0
51,lane_net-AL;2-BC,100,695,890.0
51,lane_net-AL;2-BC,150,1037,890.0
51,lane_net-AL;2-BC,200,538,890.0
51,lane_net-AL;2-BC,250,2091,890.0
7,net_net-BC-GJ,50,91,891.4000000000001
7,net_net-BC-GJ,100,999,891.4000000000001
7,net_net-BC-GJ,150,1050,891.4000000000001
7,net_net-BC-GJ,200,508,891.4000000000001
7,net_net-BC-GJ,250,1809,891.4000000000001
49,lane_lane-HL;2-HL;2,50,96,891.5999999999999
49,lane_lane-HL;2-HL;2,100,710,891.5999999999999
49,lane_lane-HL;2-HL;2,150,768,891.5999999999999
49,lane_lane-HL;2-HL;2,200,783,891.5999999999999
49,lane_lane-HL;2-HL;2,250,2101,891.5999999999999
59,lane_lane-CK;2-FG;2,50,89,912.4
59,lane_lane-CK;2-FG;2,100,442,912.4
59,lane_lane-CK;2-FG;2,150,1040,912.4
59,lane_lane-CK;2-FG;2,200,1019,912.4
59,lane_lane-CK;2-FG;2,250,1972,912.4
23,net_net-BC-CJ,50,96,921.8
23,net_net-BC-CJ,100,714,921.8
23,net_net-BC-CJ,150,1040,921.8
23,net_net-BC-CJ,200,485,921.8
23,net_net-BC-CJ,250,2274,921.8
12,net_net-BC-BG,50,98,925.0
12,net_net-BC-BG,100,999,925.0
12,net_net-BC-BG,150,757,925.0
12,net_net-BC-BG,200,498,925.0
12,net_net-BC-BG,250,2273,925.0
26,net_net-HK-KM,50,104,926.5999999999999
26,net_net-HK-KM,100,714,926.5999999999999
26,net_net-HK-KM,150,1055,926.5999999999999
26,net_net-HK-KM,200,756,926.5999999999999
26,net_net-HK-KM,250,2004,926.5999999999999
48,lane_lane-GK;2-AE;2,50,103,927.8
48,lane_lane-GK;2-AE;2,100,421,927.8
48,lane_lane-GK;2-AE;2,150,1086,927.8
48,lane_lane-GK;2-AE;2,200,1027,927.8
48,lane_lane-GK;2-AE;2,250,2002,927.8
13,lane_lane-JK;2-FL;2,50,94,930.5999999999999
13,lane_lane-JK;2-FL;2,100,444,930.5999999999999
13,lane_lane-JK;2-FL;2,150,1037,930.5999999999999
13,lane_lane-JK;2-FL;2,200,791,930.5999999999999
13,lane_lane-JK;2-FL;2,250,2287,930.5999999999999
15,lane_lane-CK;2-AE;2,50,85,932.4000000000001
15,lane_lane-CK;2-AE;2,100,737,932.4000000000001
15,lane_lane-CK;2-AE;2,150,488,932.4000000000001
15,lane_lane-CK;2-AE;2,200,1069,932.4000000000001
15,lane_lane-CK;2-AE;2,250,2283,932.4000000000001
28,lane_net-BH;2-AD,50,91,934.4
28,lane_net-BH;2-AD,100,736,934.4
28,lane_net-BH;2-AD,150,1073,934.4
28,lane_net-BH;2-AD,200,749,934.4
28,lane_net-BH;2-AD,250,2023,934.4
18,net_net-FK-AD,50,86,935.6
18,net_net-FK-AD,100,999,935.6
18,net_net-FK-AD,150,746,935.6
18,net_net-FK-AD,200,800,935.6
18,net_net-FK-AD,250,2047,935.6
34,lane_lane-BH;2-FG;2,50,103,936.3999999999999
34,lane_lane-BH;2-FG;2,100,729,936.3999999999999
34,lane_lane-BH;2-FG;2,150,1330,936.3999999999999
34,lane_lane-BH;2-FG;2,200,796,936.3999999999999
34,lane_lane-BH;2-FG;2,250,1724,936.3999999999999
6,lane_lane-IM;2-DI;2,50,108,944.2
6,lane_lane-IM;2-DI;2,100,714,944.2
6,lane_lane-IM;2-DI;2,150,764,944.2
6,lane_lane-IM;2-DI;2,200,818,944.2
6,lane_lane-IM;2-DI;2,250,2317,944.2
52,lane_lane-BH;2-GK;2,50,97,945.2
52,lane_lane-BH;2-GK;2,100,1006,945.2
52,lane_lane-BH;2-GK;2,150,1089,945.2
52,lane_lane-BH;2-GK;2,200,779,945.2
52,lane_lane-BH;2-GK;2,250,1755,945.2
30,lane_net-AE;2-GJ,50,105,951.4
30,lane_net-AE;2-GJ,100,736,951.4
30,lane_net-AE;2-GJ,150,1078,951.4
30,lane_net-AE;2-GJ,200,775,951.4
30,lane_net-AE;2-GJ,250,2063,951.4
3,lane_net-AL;2-BG,50,96,961.2
3,lane_net-AL;2-BG,100,707,961.2
3,lane_net-AL;2-BG,150,1097,961.2
3,lane_net-AL;2-BG,200,609,961.2
3,lane_net-AL;2-BG,250,2297,961.2
8,lane_net-AL;2-BG,50,96,961.2
8,lane_net-AL;2-BG,100,707,961.2
8,lane_net-AL;2-BG,150,1097,961.2
8,lane_net-AL;2-BG,200,609,961.2
8,lane_net-AL;2-BG,250,2297,961.2
10,net_net-CJ-GJ,50,95,976.0
10,net_net-CJ-GJ,100,710,976.0
10,net_net-CJ-GJ,150,1317,976.0
10,net_net-CJ-GJ,200,476,976.0
10,net_net-CJ-GJ,250,2282,976.0
32,net_net-BG-HK,50,98,976.8
