ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
4,lane_lane-EF;2-AE;2,50,122,223.8
4,lane_lane-EF;2-AE;2,100,172,223.8
4,lane_lane-EF;2-AE;2,150,216,223.8
4,lane_lane-EF;2-AE;2,200,267,223.8
4,lane_lane-EF;2-AE;2,250,342,223.8
1,net_net-FI-BG,50,109,274.2
1,net_net-FI-BG,100,179,274.2
1,net_net-FI-BG,150,238,274.2
1,net_net-FI-BG,200,258,274.2
1,net_net-FI-BG,250,587,274.2
18,lane_lane-FL;2-FJ;2,50,106,276.8
18,lane_lane-FL;2-FJ;2,100,177,276.8
18,lane_lane-FL;2-FJ;2,150,232,276.8
18,lane_lane-FL;2-FJ;2,200,267,276.8
18,lane_lane-FL;2-FJ;2,250,602,276.8
16,net_net-AF-EL,50,108,338.6
16,net_net-AF-EL,100,170,338.6
16,net_net-AF-EL,150,234,338.6
16,net_net-AF-EL,200,265,338.6
16,net_net-AF-EL,250,916,338.6
20,lane_lane-IJ;2-AL;2,50,117,340.4
20,lane_lane-IJ;2-AL;2,100,179,340.4
20,lane_lane-IJ;2-AL;2,150,236,340.4
20,lane_lane-IJ;2-AL;2,200,295,340.4
20,lane_lane-IJ;2-AL;2,250,875,340.4
17,lane_net-EI;2-FI,50,115,376.59999999999997
17,lane_net-EI;2-FI,100,447,376.59999999999997
17,lane_net-EI;2-FI,150,469,376.59999999999997
17,lane_net-EI;2-FI,200,271,376.59999999999997
17,lane_net-EI;2-FI,250,581,376.59999999999997
2,net_net-JM-AD,50,119,393.8
2,net_net-JM-AD,100,172,393.8
2,net_net-JM-AD,150,226,393.8
2,net_net-JM-AD,200,266,393.8
2,net_net-JM-AD,250,1186,393.8
8,net_net-AF-HK,50,108,404.0
8,net_net-AF-HK,100,183,404.0
8,net_net-AF-HK,150,550,404.0
8,net_net-AF-HK,200,256,404.0
8,net_net-AF-HK,250,923,404.0
19,lane_net-AE;2-EL,50,109,465.0
19,lane_net-AE;2-EL,100,183,465.0
19,lane_net-AE;2-EL,150,264,465.0
19,lane_net-AE;2-EL,200,273,465.0
19,lane_net-AE;2-EL,250,1496,465.0
7,net_net-GL-GL,50,112,556.4
7,net_net-GL-GL,100,433,556.4
7,net_net-GL-GL,150,780,556.4
7,net_net-GL-GL,200,274,556.4
7,net_net-GL-GL,250,1183,556.4
12,lane_net-EI;2-AD,50,98,573.6
12,lane_net-EI;2-AD,100,469,573.6
12,lane_net-EI;2-AD,150,533,573.6
12,lane_net-EI;2-AD,200,283,573.6
12,lane_net-EI;2-AD,250,1485,573.6
13,lane_net-GH;2-GL,50,122,577.8000000000001
13,lane_net-GH;2-GL,100,462,577.8000000000001
13,lane_net-GH;2-GL,150,519,577.8000000000001
13,lane_net-GH;2-GL,200,268,577.8000000000001
13,lane_net-GH;2-GL,250,1518,577.8000000000001
14,lane_net-IM;2-GL,50,118,637.2
14,lane_net-IM;2-GL,100,461,637.2
14,lane_net-IM;2-GL,150,801,637.2
14,lane_net-IM;2-GL,200,261,637.2
14,lane_net-IM;2-GL,250,1545,637.2
9,lane_lane-JK;2-FG;2,50,116,676.1999999999999
9,lane_lane-JK;2-FG;2,100,745,676.1999999999999
9,lane_lane-JK;2-FG;2,150,783,676.1999999999999
9,lane_lane-JK;2-FG;2,200,275,676.1999999999999
9,lane_lane-JK;2-FG;2,250,1462,676.1999999999999
3,net_net-KM-KM,50,115,683.4
3,net_net-KM-KM,100,471,683.4
3,net_net-KM-KM,150,794,683.4
3,net_net-KM-KM,200,272,683.4
3,net_net-KM-KM,250,1765,683.4
15,lane_net-AL;2-CJ,50,119,789.8
15,lane_net-AL;2-CJ,100,465,789.8
15,lane_net-AL;2-CJ,150,1098,789.8
15,lane_net-AL;2-CJ,200,266,789.8
15,lane_net-AL;2-CJ,250,2001,789.8
11,net_net-BC-HK,50,112,803.8
11,net_net-BC-HK,100,1041,803.8
11,net_net-BC-HK,150,792,803.8
11,net_net-BC-HK,200,263,803.8
11,net_net-BC-HK,250,1811,803.8
6,net_net-GJ-FK,50,123,804.4000000000001
6,net_net-GJ-FK,100,773,804.4000000000001
6,net_net-GJ-FK,150,1087,804.4000000000001
6,net_net-GJ-FK,200,313,804.4000000000001
6,net_net-GJ-FK,250,1726,804.4000000000001
5,lane_lane-HL;2-CM;2,50,119,817.8
5,lane_lane-HL;2-CM;2,100,482,817.8
5,lane_lane-HL;2-CM;2,150,1121,817.8
5,lane_lane-HL;2-CM;2,200,255,817.8
5,lane_lane-HL;2-CM;2,250,2112,817.8
10,net_net-AF-GL,50,107,844.8
10,net_net-AF-GL,100,731,844.8
10,net_net-AF-GL,150,1054,844.8
10,net_net-AF-GL,200,257,844.8
10,net_net-AF-GL,250,2075,844.8
