ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
1,lane_net-KH;2-GI,50,80,455.20000000000005
1,lane_net-KH;2-GI,100,114,455.20000000000005
1,lane_net-KH;2-GI,150,179,455.20000000000005
1,lane_net-KH;2-GI,200,779,455.20000000000005
1,lane_net-KH;2-GI,250,1124,455.20000000000005
15,lane_lane-LI;2-KH;2,50,79,516.5999999999999
15,lane_lane-LI;2-KH;2,100,116,516.5999999999999
15,lane_lane-LI;2-KH;2,150,421,516.5999999999999
15,lane_lane-LI;2-KH;2,200,515,516.5999999999999
15,lane_lane-LI;2-KH;2,250,1452,516.5999999999999
5,lane_net-LI;2-FJ,50,89,521.8
5,lane_net-LI;2-FJ,100,414,521.8
5,lane_net-LI;2-FJ,150,458,521.8
5,lane_net-LI;2-FJ,200,778,521.8
5,lane_net-LI;2-FJ,250,870,521.8
3,lane_lane-JI;2-JL;2,50,78,530.4000000000001
3,lane_lane-JI;2-JL;2,100,393,530.4000000000001
3,lane_lane-JI;2-JL;2,150,447,530.4000000000001
3,lane_lane-JI;2-JL;2,200,565,530.4000000000001
3,lane_lane-JI;2-JL;2,250,1169,530.4000000000001
2,lane_lane-GD;2-LI;2,50,87,543.0
2,lane_lane-GD;2-LI;2,100,355,543.0
2,lane_lane-GD;2-LI;2,150,700,543.0
2,lane_lane-GD;2-LI;2,200,799,543.0
2,lane_lane-GD;2-LI;2,250,774,543.0
10,lane_net-GH;2-FJ,50,80,554.6
10,lane_net-GH;2-FJ,100,380,554.6
10,lane_net-GH;2-FJ,150,449,554.6
10,lane_net-GH;2-FJ,200,1092,554.6
10,lane_net-GH;2-FJ,250,772,554.6
19,lane_net-EB;2-FJ,50,88,556.0
19,lane_net-EB;2-FJ,100,126,556.0
19,lane_net-EB;2-FJ,150,447,556.0
19,lane_net-EB;2-FJ,200,985,556.0
19,lane_net-EB;2-FJ,250,1134,556.0
12,lane_net-FI;2-GI,50,89,558.0
12,lane_net-FI;2-GI,100,409,558.0
12,lane_net-FI;2-GI,150,449,558.0
12,lane_net-FI;2-GI,200,782,558.0
12,lane_net-FI;2-GI,250,1061,558.0
18,lane_lane-CF;2-AB;2,50,78,558.0
18,lane_lane-CF;2-AB;2,100,114,558.0
18,lane_lane-CF;2-AB;2,150,674,558.0
18,lane_lane-CF;2-AB;2,200,779,558.0
18,lane_lane-CF;2-AB;2,250,1145,558.0
20,lane_net-FI;2-GI,50,89,558.0
20,lane_net-FI;2-GI,100,409,558.0
20,lane_net-FI;2-GI,150,449,558.0
20,lane_net-FI;2-GI,200,782,558.0
20,lane_net-FI;2-GI,250,1061,558.0
7,lane_net-DE;2-FJ,50,88,568.2
7,lane_net-DE;2-FJ,100,393,568.2
7,lane_net-DE;2-FJ,150,444,568.2
7,lane_net-DE;2-FJ,200,807,568.2
7,lane_net-DE;2-FJ,250,1109,568.2
17,lane_lane-LI;2-DB;2,50,334,588.8
17,lane_lane-LI;2-DB;2,100,642,588.8
17,lane_lane-LI;2-DB;2,150,431,588.8
17,lane_lane-LI;2-DB;2,200,721,588.8
17,lane_lane-LI;2-DB;2,250,816,588.8
9,lane_net-AD;2-FJ,50,78,600.0
9,lane_net-AD;2-FJ,100,396,600.0
9,lane_net-AD;2-FJ,150,430,600.0
9,lane_net-AD;2-FJ,200,1026,600.0
9,lane_net-AD;2-FJ,250,1070,600.0
13,lane_lane-HE;2-JL;2,50,82,667.0
13,lane_lane-HE;2-JL;2,100,645,667.0
13,lane_lane-HE;2-JL;2,150,440,667.0
13,lane_lane-HE;2-JL;2,200,783,667.0
13,lane_lane-HE;2-JL;2,250,1385,667.0
6,lane_lane-GF;2-DE;2,50,87,686.2
6,lane_lane-GF;2-DE;2,100,389,686.2
6,lane_lane-GF;2-DE;2,150,448,686.2
6,lane_lane-GF;2-DE;2,200,1078,686.2
6,lane_lane-GF;2-DE;2,250,1429,686.2
4,lane_lane-GC;2-JI;2,50,74,699.2
4,lane_lane-GC;2-JI;2,100,380,699.2
4,lane_lane-GC;2-JI;2,150,671,699.2
4,lane_lane-GC;2-JI;2,200,1006,699.2
4,lane_lane-GC;2-JI;2,250,1365,699.2
8,lane_net-KG;2-FJ,50,83,711.6
8,lane_net-KG;2-FJ,100,687,711.6
8,lane_net-KG;2-FJ,150,693,711.6
8,lane_net-KG;2-FJ,200,1025,711.6
8,lane_net-KG;2-FJ,250,1070,711.6
11,lane_net-JI;2-FJ,50,91,720.0
11,lane_net-JI;2-FJ,100,655,720.0
11,lane_net-JI;2-FJ,150,690,720.0
11,lane_net-JI;2-FJ,200,1045,720.0
11,lane_net-JI;2-FJ,250,1119,720.0
16,lane_lane-HD;2-AB;2,50,349,743.4
16,lane_lane-HD;2-AB;2,100,425,743.4
16,lane_lane-HD;2-AB;2,150,482,743.4
16,lane_lane-HD;2-AB;2,200,1319,743.4
16,lane_lane-HD;2-AB;2,250,1142,743.4
14,lane_net-KG;2-GI,50,76,761.0
14,lane_net-KG;2-GI,100,396,761.0
14,lane_net-KG;2-GI,150,705,761.0
14,lane_net-KG;2-GI,200,1041,761.0
14,lane_net-KG;2-GI,250,1587,761.0
