ID,Configuracao,Qnt. Veiculos,Custo Individual,Custo Medio
19,lane_net-KH;2-FJ,50,71,441.0
19,lane_net-KH;2-FJ,100,116,441.0
19,lane_net-KH;2-FJ,150,416,441.0
19,lane_net-KH;2-FJ,200,742,441.0
19,lane_net-KH;2-FJ,250,860,441.0
4,lane_net-KH;2-GI,50,80,455.20000000000005
4,lane_net-KH;2-GI,100,114,455.20000000000005
4,lane_net-KH;2-GI,150,179,455.20000000000005
4,lane_net-KH;2-GI,200,779,455.20000000000005
4,lane_net-KH;2-GI,250,1124,455.20000000000005
2,lane_lane-DE;2-DB;2,50,84,510.2
2,lane_lane-DE;2-DB;2,100,122,510.2
2,lane_lane-DE;2-DB;2,150,434,510.2
2,lane_lane-DE;2-DB;2,200,802,510.2
2,lane_lane-DE;2-DB;2,250,1109,510.2
15,lane_lane-JL;2-JI;2,50,78,530.4000000000001
15,lane_lane-JL;2-JI;2,100,393,530.4000000000001
15,lane_lane-JL;2-JI;2,150,447,530.4000000000001
15,lane_lane-JL;2-JI;2,200,565,530.4000000000001
15,lane_lane-JL;2-JI;2,250,1169,530.4000000000001
10,lane_net-KM;2-FJ,50,83,557.0
10,lane_net-KM;2-FJ,100,399,557.0
10,lane_net-KM;2-FJ,150,426,557.0
10,lane_net-KM;2-FJ,200,747,557.0
10,lane_net-KM;2-FJ,250,1130,557.0
16,lane_net-FI;2-GI,50,89,558.0
16,lane_net-FI;2-GI,100,409,558.0
16,lane_net-FI;2-GI,150,449,558.0
16,lane_net-FI;2-GI,200,782,558.0
16,lane_net-FI;2-GI,250,1061,558.0
5,lane_net-DC;2-GI,50,81,592.8
5,lane_net-DC;2-GI,100,674,592.8
5,lane_net-DC;2-GI,150,446,592.8
5,lane_net-DC;2-GI,200,742,592.8
5,lane_net-DC;2-GI,250,1021,592.8
1,lane_net-AD;2-FJ,50,78,600.0
1,lane_net-AD;2-FJ,100,396,600.0
1,lane_net-AD;2-FJ,150,430,600.0
1,lane_net-AD;2-FJ,200,1026,600.0
1,lane_net-AD;2-FJ,250,1070,600.0
9,lane_lane-JK;2-AC;2,50,72,600.2
9,lane_lane-JK;2-AC;2,100,367,600.2
9,lane_lane-JK;2-AC;2,150,669,600.2
9,lane_lane-JK;2-AC;2,200,1015,600.2
9,lane_lane-JK;2-AC;2,250,878,600.2
7,lane_lane-FI;2-LI;2,50,79,607.0
7,lane_lane-FI;2-LI;2,100,389,607.0
7,lane_lane-FI;2-LI;2,150,669,607.0
7,lane_lane-FI;2-LI;2,200,756,607.0
7,lane_lane-FI;2-LI;2,250,1142,607.0
14,lane_lane-LI;2-DE;2,50,86,607.5999999999999
14,lane_lane-LI;2-DE;2,100,374,607.5999999999999
14,lane_lane-LI;2-DE;2,150,668,607.5999999999999
14,lane_lane-LI;2-DE;2,200,764,607.5999999999999
14,lane_lane-LI;2-DE;2,250,1146,607.5999999999999
6,lane_lane-LI;2-HE;2,50,91,627.8000000000001
6,lane_lane-LI;2-HE;2,100,402,627.8000000000001
6,lane_lane-LI;2-HE;2,150,725,627.8000000000001
6,lane_lane-LI;2-HE;2,200,798,627.8000000000001
6,lane_lane-LI;2-HE;2,250,1123,627.8000000000001
13,lane_net-JK;2-GI,50,79,640.6
13,lane_net-JK;2-GI,100,368,640.6
13,lane_net-JK;2-GI,150,673,640.6
13,lane_net-JK;2-GI,200,1285,640.6
13,lane_net-JK;2-GI,250,798,640.6
8,lane_net-GC;2-FJ,50,73,644.8
8,lane_net-GC;2-FJ,100,388,644.8
8,lane_net-GC;2-FJ,150,417,644.8
8,lane_net-GC;2-FJ,200,1009,644.8
8,lane_net-GC;2-FJ,250,1337,644.8
11,lane_net-GC;2-FJ,50,73,644.8
11,lane_net-GC;2-FJ,100,388,644.8
11,lane_net-GC;2-FJ,150,417,644.8
11,lane_net-GC;2-FJ,200,1009,644.8
11,lane_net-GC;2-FJ,250,1337,644.8
20,lane_lane-JK;2-JI;2,50,72,663.4000000000001
20,lane_lane-JK;2-JI;2,100,406,663.4000000000001
20,lane_lane-JK;2-JI;2,150,664,663.4000000000001
20,lane_lane-JK;2-JI;2,200,1062,663.4000000000001
20,lane_lane-JK;2-JI;2,250,1113,663.4000000000001
18,lane_net-DE;2-GI,50,86,667.8
18,lane_net-DE;2-GI,100,393,667.8
18,lane_net-DE;2-GI,150,435,667.8
18,lane_net-DE;2-GI,200,1038,667.8
18,lane_net-DE;2-GI,250,1387,667.8
17,lane_lane-FI;2-DB;2,50,335,703.4
17,lane_lane-FI;2-DB;2,100,640,703.4
17,lane_lane-FI;2-DB;2,150,673,703.4
17,lane_lane-FI;2-DB;2,200,792,703.4
17,lane_lane-FI;2-DB;2,250,1077,703.4
3,lane_net-GH;2-GI,50,78,780.2
3,lane_net-GH;2-GI,100,374,780.2
3,lane_net-GH;2-GI,150,407,780.2
3,lane_net-GH;2-GI,200,1385,780.2
3,lane_net-GH;2-GI,250,1657,780.2
12,lane_net-GH;2-GI,50,78,780.2
12,lane_net-GH;2-GI,100,374,780.2
12,lane_net-GH;2-GI,150,407,780.2
12,lane_net-GH;2-GI,200,1385,780.2
12,lane_net-GH;2-GI,250,1657,780.2
